Be553,Be95,G. C,AynCDM16,AynCDM18,Mo417,G. A,G. B,CaH156,CaH160,StPS26,TelK104,Vi7,NH3,Bi583,Ev1,StP4 (IOM),Ye72a,StPSnd104,LoA16,Pa425,NY2941/2,Pr2,MosRSL78,NY2941/3,Lo6673,StPS1
,,,,,<persName><status>mry</status> <forename>bhnm</forename></persName>,,"<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>",<persName><forename>lwqʔ</forename></persName>,,,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",,,,,,,<persName><status>mry</status> <forename>gwsʔ</forename></persName>,,,<persName><forename>mty</forename></persName>,,,<persName><forename>mrqws</forename></persName>,,
,,,,,"<persName ref=""ʔnsymws brt mlkʔ""><status>mry</status> <forename ref=""brt"">ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>",<persName><forename>ywḥnn</forename></persName>,,,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>nḥl</residence></persName>",,,,,,,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>wʔnglsth</virtue> <virtue>ʔwnglsṭʔ</virtue></persName>",,,<persName><forename>mrqws</forename></persName>,,,<persName><forename>lwqʔ</forename></persName>,,
,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔšnz</residence></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>br zwʕby</addName></persName>",,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>dwmhʔ</residence></persName>,,,<persName><forename>lwqʔ</forename></persName>,,,<persName><forename>ywḥnn</forename></persName>,,
,,,,,,,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwq</residence></persName>",<persName><status>mry</status> <forename>qwryqws</forename></persName>,,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,,,<persName><forename>ywḥnn</forename></persName>,,,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,
,,,,,,,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ḥzyʔ</virtue></persName>,,,<persName><forename>ʔndrʔws</forename></persName>,,,<persName><status>mry</status> <forename>tʔwmʔ</forename></persName>,,
,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥṭrʔ</residence></persName>,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,,,,,,<persName><status>mry</status> <forename>qwryqws</forename></persName>,,
,,,,,,,"<persName ref=""mry ʔlyʔ ʔbw ḥlym""><status>mry</status> <forename>ʔlyʔ</forename> <addName>ʔbwḥlym</addName></persName>",,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpbṭyʔ</residence></persName>,,,,,,<persName><forename>ʔndrʔws</forename></persName>,,
,,,,,,,"<persName ref=""mry šmly kʔnʔ""><status>mry</status> <forename>šmly</forename> <virtue>kʔnʔ</virtue></persName>",,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>prsyʔ</nationality></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <residence>pmyʔ</residence></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> m<residence>nqlyʔ</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn tgrytyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>tgrytyʔ</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn šmšṭyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>šmšṭyʔ</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br mlkʔ</addName></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mmdnʔ</virtue></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrs</addName></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br dldwn</addName></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>br zwʕby</addName></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn sbʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>sbʔ</trait></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn br pnkyʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>pnkyʔ</addName></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn br llš""><status>mry</status> <forename>ywḥnn</forename> d<residence>llš</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>byt rbn</addName></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn dḥyrtʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥyrtʔ</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnḥl</residence></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn dʔšnwk""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔšnw</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwqw</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣynʔ</virtue></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥṭrʔ</residence></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ṭbytʔ</residence></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn dšh""><status>mry</status> <forename>ywḥnn</forename> <addName>dšhʔ</addName></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrhy</residence></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>byt rbn</addName></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>bwdwyʔ</addName></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>zʕmʔ</addName></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔbylʔ</virtue></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>mʕryʔ</addName></persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn dqnh""><status>mry</status> <forename>ywḥnn</forename> d<residence>dqnh</residence></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ywḥnn tlmydʔ""><status>mry</status> <virtue>tlmydh dʔwnglsṭʔ</virtue></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> hw bʕʔ mn mrn wnḥmh lyldth </persName>,,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry ʔlyʔ ʔbw ḥlym""><status>mry</status> <forename>ʔlyʔ</forename> <addName>ʔbw ḥlm</addName></persName>",,,,,,,,
,,,,,,,,,,,,,,,,,,"<persName ref=""mry šmly kʔnʔ""><status>mry</status> <forename>šmly</forename> <virtue>kʔnʔ</virtue></persName>",,,,,,,,
